Date,Power_kW,temp_C,HR,solarRad_W/m2,Power-1,Hour,HDH
2018-02-23 22:00:00,50.528125,11.273333333333333,33.87833333333334,0.6971666666666666,63.211831499999995,22,0.0
2018-02-23 23:00:00,49.123388500000004,10.751666666666667,31.520833333333325,0.62775,50.528125,23,0.0
2018-02-24 00:00:00,47.355505,10.038333333333334,35.62166666666667,0.6348333333333332,49.123388500000004,0,0.0
2018-02-24 01:00:00,46.4970185,9.1875,41.04666666666667,0.6255833333333333,47.355505,1,0.0
2018-02-24 02:00:00,45.4268055,8.748333333333333,42.67416666666667,0.5748333333333334,46.4970185,2,0.0
2018-02-24 03:00:00,44.343701,8.084166666666667,48.34166666666667,0.5702499999999999,45.4268055,3,0.0
2018-02-24 04:00:00,43.6844865,6.972916666666667,51.94416666666666,0.5563333333333332,44.343701,4,0.0
2018-02-24 05:00:00,42.417405,6.593833333333333,49.99583333333333,0.48025000000000007,43.6844865,5,0.0
2018-02-24 06:00:00,40.956514,6.3495,47.35500000000001,0.48033333333333333,42.417405,6,0.0
2018-02-24 07:00:00,42.701018,6.3116666666666665,46.29999999999999,30.2345,40.956514,7,0.0
2018-02-24 08:00:00,44.818283,6.624166666666667,43.612500000000004,184.89999999999998,42.701018,8,0.0
2018-02-24 09:00:00,45.470724,7.4775,40.61833333333333,367.92499999999995,44.818283,9,0.0
2018-02-24 10:00:00,75.23435699999999,8.49333333333333,40.675000000000004,523.625,45.470724,10,0.0
2018-02-24 11:00:00,98.8933185,11.145000000000001,33.08083333333334,635.0583333333334,75.23435699999999,11,0.0
2018-02-24 12:00:00,88.71799200000001,14.084166666666667,25.475833333333338,687.9000000000001,98.8933185,12,0.0
2018-02-24 13:00:00,85.21980699999999,14.215833333333336,30.91416666666667,675.2083333333334,88.71799200000001,13,0.0
2018-02-24 14:00:00,86.161105,14.155833333333332,39.626666666666665,605.35,85.21980699999999,14,0.0
2018-02-24 15:00:00,85.7723935,13.939166666666667,42.32416666666666,480.175,86.161105,15,0.0
2018-02-24 16:00:00,56.086765,13.293333333333331,46.24833333333333,314.1000000000001,85.7723935,16,0.0
2018-02-24 17:00:00,51.2528895,12.8675,52.6675,130.34916666666666,56.086765,17,0.0
2018-02-24 18:00:00,52.6504155,11.901666666666669,60.42583333333332,8.4175,51.2528895,18,0.0
2018-02-24 19:00:00,53.4282755,11.658333333333333,64.06583333333333,0.7893333333333331,52.6504155,19,0.0
